,B12,B13,B14,B15,B16,B17,B23,B24,B25,B26,B27,B34,B35,B36,B37,B45,B46,B47,B56,B57,B67
count,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
mean,3.3626373626373627,3.576923076923077,3.4945054945054945,3.758241758241758,4.730769230769231,4.368131868131868,4.346153846153846,4.714285714285714,3.6868131868131866,2.6538461538461537,2.532967032967033,5.7032967032967035,5.395604395604396,2.8956043956043955,2.5604395604395602,4.6098901098901095,3.1868131868131866,2.521978021978022,3.934065934065934,3.6868131868131866,3.923076923076923
std,1.7337500219137196,1.30113226705458,0.9504128370045958,0.9264756405328524,1.9606737092043518,2.0059788600418034,1.0543053215303548,0.8576688730605129,0.9077577001910182,1.3069983909248524,0.8709625011819861,1.071937425964054,0.9088772854354829,0.8442738012471337,1.205042730576274,1.2598829152874236,0.8908632341300178,0.9844427649819707,0.7403478024258987,0.925836493948475,1.5853665712764562
min,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0
25%,2.0,3.0,3.0,3.0,2.25,2.0,4.0,4.0,3.0,2.0,2.0,5.0,5.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0
50%,3.0,3.0,3.0,4.0,6.0,5.0,4.5,5.0,4.0,2.0,2.0,6.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0
75%,5.0,4.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,6.0,6.0,4.0,3.0,6.0,4.0,3.0,4.0,4.0,5.0
max,7.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,5.0,7.0,4.0,7.0,7.0,4.0,6.0,7.0,6.0,5.0,5.0,6.0,7.0
